headline	summary
Сборники на перепутье: Баринов может уехать в Испанию, Миранчук — перейти в «Динамо», Сергеев — вернуться в «Крылья»	Дмитрий Баринов рассказал об интересе к нему со стороны «Алавеса» и сообщил о готовности уехать в Испанию, а его бывший одноклубник Артём Дзюба, напротив, отказался от предложений из-за рубежа и намерен остаться в России. «Спартак» близок к приобретению аргентинца Эсекьеля Барко, а ЦСКА подписал контракт с малийцем Секу Койта. В свою очередь, в «Динамо» не исключили прихода Антона Миранчука, а в «Крыльях Советов» намекнули на возвращение Ивана Сергеева.
Покинула корт в слезах: Калинская не смогла завершить матч с Рыбакиной на Уимблдоне из-за травмы	В женской сетке одиночного разряда Уимблдонского турнира не осталось представительниц России. Анна Калинская успешно начала матч четвёртого круга с Еленой Рыбакиной, но затем начала испытывать проблемы с запястьем и была вынуждена взять медицинский тайм-аут. После возвращения на корт 18-я ракетка мира проиграла пять геймов подряд и отказалась от продолжения борьбы при счёте 0:3 во втором сете.
Экономия сил перед битвой с Синнером: Медведев прошёл в четвертьфинал Уимблдона из-за травмы Димитрова	Даниил Медведев неожиданно быстро преодолел барьер четвёртого круга на Уимблдоне и сэкономил силы перед встречей с Янником Синнером. Россиянин неудачно начал матч с Григором Димитровым, отдав три первых гейма, но достаточно легко восстановил равновесие. Однако в шестом гейме соперник во время одного из розыгрышей поскользнулся и повредил ногу, после чего взял медицинский тайм-аут и отправился в раздевалку. Вернувшись, болгарин попытался продолжить, но под ноль уступил чужую подачу и после первого же мяча на своей отказался от продолжения борьбы.
Шедевр Драгуна, травма Онопко и сейвы Нигматуллина: Россия по пенальти обыграла Белоруссию в ретроматче легенд	В Минске прошёл матч между легендами сборных России и Белоруссии по футболу. На красивый гол Станислава Драгуна гости ответили точным ударом Андрея Каряки с 11-метрового, после чего взяли верх в серии пенальти. Помимо прочего, встреча запомнилась невероятными сейвами Руслана Нигматуллина, прорывами Юрия Жиркова и Андрея Аршавина, а также травмами Алексея Смертина и Виктора Онопко.
Вылет Бразилии, паненка Месси, феерия Родригеса и визит Кросби: чем запомнились четвертьфиналы Кубка Америки — 2024	Бразилия без Винисиуса уступила Уругваю в серии пенальти, хотя последние 20 минут провела в большинстве. Аргентина только в «лотерее» дожала Эквадор, позволив сопернику сравнять счёт на 91-й минуте. При этом Лионель Месси с точки пробил паненкой по центру, но угодил в перекладину. Колумбия разгромила Панаму благодаря голу и двум передачам Хамеса Родригеса, а победный мяч забил нападающий «Краснодара» Джон Кордоба. В свою очередь, Канада взяла верх над Венесуэлой и удостоилась похвалы от Сидни Кросби. Чем запомнились четвертьфиналы Кубка Америки — в материале RT.
И их осталось двое: Калинская впервые вышла в 1/8 финала Уимблдона, Медведев с третьей попытки завершил матч со Штруффом	Анна Калинская впервые в карьере вышла в 1/8 финала Уимблдонского турнира. Во встрече третьего круга россиянка обыграла соотечественницу Людмилу Самсонову в двух сетах, совершив вдвое меньше невынужденных ошибок и сделав три брейка. Даниил Медведев успешно завершил начавшийся накануне матч с Яном-Леннардом Штруффом. Пятый сеяный уступал на тай-брейке четвёртого сета 1:3, но затем выиграл шесть очков подряд. А вот Роман Сафиуллин вынужден был зачехлить ракетку, уступив в пятисетовом марафоне 20-летнему французу Артюру Фису.
«Нельзя смотреть сквозь пальцы»: осуждённого за изнасилование волейболиста требуют отстранить от Игр в Париже	Более 23 тыс. человек подписали публичное требование об отстранении от участия в Олимпийских играх пляжного волейболиста Стивена ван де Вельде. В 2016 году спортсмен был осуждён на четыре года за изнасилование 12-летней девочки в Англии, однако отбыл лишь четверть срока из-за разницы в британских и нидерландских законах. Правозащитники называют допуск атлета с таким прошлым плевком в душу всем жертвам насилия, а также угрозой идеалам олимпизма, однако местная федерация поддерживает игрока. В МОК между тем никак не комментируют происходящее.
Драматичные вылеты после завоёванных трофеев: Касаткина и Шнайдер синхронно проиграли в третьем круге Уимблдона	Завоевавшие перед мейджором титулы на турнирах в Истбурне и Бад-Хомбурге россиянки Дарья Касаткина и Диана Шнайдер провели непростые трёхсетовые поединки и синхронно зачехлили ракетки. Первая не справилась с испанкой Паулой Бадосой, хотя вела с брейком в решающей партии, а вторая уступила американке Эмме Наварро, которую до этого дважды обыгрывала в текущем сезоне. Даниил Медведев отдал один сет из трёх Ян-Леннарду Штруффу и не успел завершить матч из-за дождя.
По стопам Рублёва: Хачанов не справился с 220-й ракеткой мира и вылетел с Уимблдона	Карен Хачанов завершил выступление на Уимблдоне после второго круга, неожиданно уступив 220-й ракетке мира Кентену Алису в затяжном пятисетовом матче. Француз превзошёл оппонента в большинстве ключевых компонентов игры, в том числе набрал на 40 очков больше при выходах к сетке. Роман Сафиуллин не позволил Томашу Махачу совершить эффектный камбэк во второй игре подряд и взял верх в четырёх сетах. В женской части турнира Дарья Касаткина навесила две баранки Юрико Миядзаки, Анна Калинская не оставила шансов Мари Боузковой, а Людмила Самсонова оказалась сильнее соотечественницы Элины Аванесян.
«Вопиющее нарушение прав человека»: Гатилов — о двойных стандартах МОК и политизации спорта в угоду Западу	МОК предал идеалы олимпийского движения в угоду западным странам. Об этом в интервью RT заявил постпред России при ООН в Женеве Геннадий Гатилов. По его мнению, действия Томаса Баха и ближайших соратников полностью идут вразрез с принципами хартии. Дипломат также назвал нарушением прав человека запрет отечественным атлетам принимать участие в международных соревнованиях и счёл двойными стандартами отказ накладывать аналогичные санкции на Израиль из-за военной операции в секторе Газа.
Минусов нет: Трусова может возобновить карьеру и выступить на контрольных прокатах сборной	Александра Трусова может возобновить карьеру и выступить на контрольных прокатах сборной России осенью. Сама фигуристка пока не подтверждала эту информацию, но сразу несколько источников сообщают, что она уже приступила к тренировкам в академии Евгения Плющенко. С чем может быть связано желание вернуться на лёд в отсутствие перспектив на международной арене и почему не стоит разочаровываться серебряной медалистке Олимпийских игр в Пекине в случае неудачи — в материале RT.
Из Флориды в Детройт: двукратный обладатель Кубка Стэнли Тарасенко заключил контракт с «Ред Уингз»	Владимир Тарасенко официально стал игроком «Детройта». 32-летний нападающий, вышедший 1 июля на рынок свободных агентов, заключил с «Ред Уингз» двухлетний контракт на общую сумму $9,5 млн. Эксперты прочат ему место во втором звене команды, которая в межсезонье значительно обновила атакующую линию. Между тем Павел Бучневич подписал новое шестилетнее соглашение с «Сент-Луисом», по которому он заработает $48 млн.
30-я победа в сезоне: Медведев справился с Мюллером, а Карацев из-за травмы не доиграл матч с Хачановым на Уимблдоне	Даниил Медведев выиграл 30-й матч в сезоне и пробился в третий круг Уимблдона. Пятая ракетка мира неожиданно уступил Александру Мюллеру в стартовом сете, но, хотя впоследствии так и не продемонстрировал своего лучшего тенниса, всё же дожал француза. Роман Сафиуллин в пяти партиях сломил сопротивление Франсиско Серундоло и прервал внушительную серию поражений, а Карен Хачанов вышел в следующий раунд из-за отказа Аслана Карацева от продолжения борьбы после травмы колена. В свою очередь, Анастасия Павлюченкова, Эрика Андреева и Вероника Кудерметова дружно зачехлили ракетки, причём последняя дала бой Барборе Крейчиковой. А Диана Шнайдер отдала всего два гейма некогда грозной Слоан Стивенс.
Провал США, травма Месси, эмоции Неймара и тепловой удар судьи: чем запомнился групповой этап Кубка Америки	Сборная США сенсационно не вышла из группы, а команда Аргентины одержала три победы, несмотря на травму Лионеля Месси. Бразилия при поддержке травмированного Неймара не без труда пробилась в плей-офф, а Венесуэла заняла первую строчку в квартете благодаря двум голам бывшего нападающего «Зенита» и «Рубина» Хосе Саломона Рондона. Четверо главных тренеров отбыли дисквалификации за опоздание на второй тайм, а помощник судьи Умберто Панхох получил тепловой удар и потерял сознание во время встречи между Перу и Канадой. Чем запомнился групповой этап Кубка Америки — в материале RT.
«Попытки найти мотивацию»: фигурист Ангелопол расстался с Шинкаренко и третий раз за год остался без партнёрши	Валерий Ангелопол и Александра Шинкаренко объявили о прекращении существования их танцевального дуэта. Фигуристы тренировались под руководством Натальи Линичук в «Ангелах Плющенко». По утверждению партнёрши, решение о разрыве стало для неё неожиданностью. Татьяна Тарасова резко раскритиковала юношу за частую смену партнёрш, а Елена Вайцеховская увидела в этом попытку найти мотивацию в непростых условиях, в которых оказался российский спорт.
На разных полюсах: Рублёв не справился с 122-й ракеткой мира, а Калинская без проблем вышла во второй круг Уимблдона	Андрей Рублёв не сумел выйти во второй круг Уимблдона. Россиянин испытывал проблемы с подачей, а также допускал много невынужденных ошибок, в результате чего в четырёх сетах проиграл 122-й ракетке мира Франсиско Комесанье. Анна Калинская, напротив, отдала всего пять геймов Панне Удварди. Элина Аванесян тоже легко расправилась с украинкой Ангелиной Калининой, а Людмиле Самсоновой пришлось провести три партии с Ребекой Масаровой. Анастасия Потапова и Анна Блинкова завершили выступление на турнире, а Роман Сафиуллин не успел доиграть матч с Франсиско Серундоло из-за наступления темноты.
Уход Миранчука из «Локо», прощание Шунина с «Динамо» и трансфер Жозе в «Спартак»: как клубы РПЛ проводят межсезонье	«Локомотив» объявил об уходе Антона Миранчука, а «Динамо» не будет продлевать контракт с Антоном Шуниным, который провёл в клубе 17 лет. «Зенит» пополнил состав Максимом Глушенковым, Сергеем Волковым и Юрием Горшковым, а «Спартак» приобрёл у «Бетиса» Виллиана Жозе. «Краснодар» подписал соглашение с Данилой Козловым сроком на четыре года, а «Химки» вернули Дениса Глушакова и интересуются Георгием Джикией.
Неожиданный вылет Андреевой, лёгкая прогулка Медведева и провальный марафон Котова: как россияне стартовали на Уимблдоне	Мирра Андреева сенсационно уступила Бренде Фрухвиртовой на старте Уимблдона. 17-летняя россиянка легко взяла первый сет, но во втором чешка попросила медицинский тайм-аут, после чего выиграла шесть геймов подряд. Прийти в себя после такого провала уроженка Красноярска уже не смогла. Её сестра Эрика заменила снявшуюся из-за травмы Арину Соболенко и впервые в карьере вышла во второй круг турниров Большого шлема. Также сломили сопротивления соперниц Дарья Касаткина, Анастасия Павлюченкова и Диана Шнайдер, причём последняя проявила стойкость в сражении с Каролиной Плишковой, проигрывая со счётом 4:6, 2:3. Даниил Медведев не испытал никаких проблем во встрече с Александром Ковачевичем, а вот Павел Котов не выстоял в четырёхчасовом марафоне с Джорданом Томпсоном, хотя вёл 2-0 по партиям.
Курс на перестройку: почему «Тампа» избавилась от самого дорогого российского защитника в НХЛ	«Тампа-Бэй» обменял самого высокооплачиваемого российского защитника в НХЛ Михаила Сергачёва в «Юту» на молодых Джей Джея Мозера и Конора Гики, а также два выбора на драфте. Таким образом, клуб расчистил место в платёжной ведомости, заполучил права на звёздного форварда Джейка Гюнцеля и оставил средства на подписание других звёзд. А 26-летний россиянин после переезда наверняка будет получать много игрового времени и станет одним из лидеров в новой команде.
«Ступень в долгой карьере»: 26 российских хоккеистов выбраны на драфте НХЛ	Клубы НХЛ выбрали 26 российских хоккеистов на традиционной церемонии драфта, которая прошла в Лас-Вегасе. Самый высокий номер среди соотечественников получил нападающий системы СКА Иван Демидов, приглянувшийся «Монреалю». Также в первом раунде свои клубы обрели Антон Силаев, Егор Сурин и Матвей Гридин. Больше всего отечественных игроков выбрала «Каролина», а «Тампа» не только не задрафтовала ни одного, но и обменяла защитника Михаила Сергачёва в «Юту» в том числе ради освобождения платёжной ведомости.
Дубль перед Уимблдоном: Касаткина и Шнайдер выиграли турниры WTA в Истбурне и Бад-Хомбурге	Дарья Касаткина и Диана Шнайдер выиграли турниры категории WTA 500 в Истбурне и Бад-Хомбурге за два дня до старта Уимблдона. Первая ракетка страны в финале уверенно разобралась с канадкой Лейлой Фернандес, пять раз взяв подачу соперницы в двух сетах. Попутно она прервала серию из пяти поражений в решающих матчах и завоевала свой седьмой титул. Её 20-летняя соотечественница не без труда в трёх партиях сломила сопротивление хорватки Донны Векич и впервые в карьере взлетела в топ-30 мирового рейтинга.
Тернистый путь: Медведеву и Андреевой не повезло с жеребьёвкой на Уимблдоне, у Калинской и Рублёва сетки полегче	С 1 по 14 июля в Лондоне пройдёт третий в году турнир Большого шлема — Уимблдон. Даниилу Медведеву и Мирре Андреевой не слишком повезло с жеребьёвкой: первый попал в одну половину сетки с Янником Синнером и Карлосом Алькарасом, а второй придётся на старте сыграть с талантливой сверстницей Брендой Фрухвиртовой на пути к встрече с Ариной Соболенко в четвёртом круге. По мнению Шамиля Тарпищева, выход во вторую неделю лондонского мейджора хотя бы некоторых российских теннисистов уже станет успехом.
Оставив Корешкова за бортом: Мусаев нокаутировал Рамазанова, а Умалатов «задушил» Уорда на PFL 6	Ещё четверо россиян завоевали путёвки в плей-офф PFL 2024 года. На турнире в Су-Фолсе Магомед Умалатов «задушил» Бреннана Уорда и со второго места вышел в полуфинал первенства в полусреднем весе, а компанию ему составили Мурад Рамазанов и Шамиль Мусаев, нокаутировавший соотечественника в первом раунде. А вот Андрей Корешков не смог пройти дальше, несмотря на победу над Гоити Ямаути. В свою очередь, Тимур Хизриев единогласным решением взял верх над Энрике Барзолой и пробился в четвёрку сильнейших в полулёгком дивизионе.
«Унизительные условия»: дзюдоисты отвергли приглашение на ОИ, так как МОК оставил за бортом две трети сборной	МОК выдал приглашения на Олимпиаду в Париже лишь четырём российским дзюдоистам, тогда как они завоевали 12 квот, а квалификационный рейтинг набрали 17 спортсменов. В связи с этим президиум Федерации дзюдо России принял решение не отправлять на Игры никого из атлетов. Также в пятницу нейтральный статус для участия в ОИ-2024 получили каноисты Алексей Коровашков и Захар Петров, теннисисты Павел Котов и Анна Калинская. Список ещё может быть дополнен.
Небольшое утешение: Кучеров дважды проиграл Маккиннону, но единогласно вошёл в символическую сборную сезона НХЛ	Никита Кучеров не смог второй раз в карьере завоевать три индивидуальные награды по итогам сезона НХЛ. Лучший бомбардир регулярного чемпионата финишировал на втором месте в голосованиях за «Харт Трофи» и «Тед Линдсей Эворд», уступив канадцу Натану Маккиннону. При этом российский форвард «Тампа-Бэй» был единогласно включён в символическую сборную турнира, где компанию ему составил Артемий Панарин. А Сергей Бобровский впервые с 2017 года вошёл в тройку финалистов гонки за «Везина Трофи».
«Процесс затягивается чудовищно»: как проходит допуск россиян к Олимпиаде	МОК пополнил список россиян, которые получили допуск к Олимпийским играм — 2024 в Париже. В частности, в него официально вошли восемь теннисистов, но с учётом ранее отказавшихся от участия Андрея Рублёва, Карена Хачанова, Людмилы Самсоновой и Дарьи Касаткиной. В ФТР предположили, что комитет ещё внесёт коррективы. В свою очередь, велосипедисту Глебу Сырице уже позволили заменить Александра Власова. Представители других видов пока остаются в неведении. По мнению Елены Вайцеховской, стоит ждать любых неприятных сюрпризов. А Дмитрий Губерниев посетовал на затянутость процедуры.
Автор первого хет-трика в истории сборной России: на 53-м году жизни в США скончался хоккеист Березин	В США на 53-м году жизни скончался бывший нападающий сборной России Сергей Березин. По словам чемпиона мира Андрея Маркова, в последние годы коллега проживал во Флориде, где в том числе тренировал детские команды. На родине уроженец Воскресенска выступал за «Химик» и ЦСКА, а в составе национальной команды принял участие в четырёх первенствах планеты, Олимпиаде и Кубке мира. Также он восемь лет провёл в НХЛ, пять из которых отдал «Торонто». Президент ФХР Владислав Третьяк назвал его уход большой потерей для всего отечественного хоккея.
«Большое недопонимание»: медалистка ЧМ-2023 Ли Хэ Ин может пропустить ОИ из-за обвинений в домогательствах к юниору	Южнокорейскую фигуристку Ли Хэ Ин отстранили от спорта на три года. Её обвинили в нарушении режима во время тренировочных сборов и сексуальных домогательствах в отношении несовершеннолетнего. Девушка признала употребление алкоголя и принесла публичные извинения по этому поводу, но отвергла вторую часть претензий. По её словам, с предполагаемым пострадавшим их связывали романтические отношения, о домогательствах речи не шло. Спортсменка рассчитывает на пересмотр дела, который позволит ей выступить на Олимпиаде в Милане.
«Пример для подражания на льду и вне площадки»: Дацюка введут в Зал хоккейной славы НХЛ	Павел Дацюк стал десятым хоккеистом из России и СССР, которого включили в Зал хоккейной славы НХЛ. Торжественная церемония состоится 11 ноября в Торонто. Президент ФХР Владислав Третьяк считает, что это стало возможным, поскольку болельщики за океаном ценят талант. Глава IIHF Люк Тардиф не исключил попадания россиянина в аналогичный клуб международной федерации. В «Детройте», за который нападающий играл 14 сезонов, назвали форварда одним из самых способных исполнителей в истории лиги.
«Играешь не ради наград, а ради эмоций»: Бобровский оказался в центре внимания после триумфа в Кубке Стэнли	Вырвать победу после трёх проигранных встреч подряд было крайне непросто. Об этом после завоевания Кубка Стэнли заявил голкипер «Флориды» Сергей Бобровский. В свою очередь, бывший вратарь «Пантерз» Роберто Луонго назвал коллегу особенным хоккеистом, а капитан команды Александр Барков — главным творцом исторического результата.
«В МОК наплевали на независимость федераций»: Мамиашвили — о допуске россиян, «тенденции разрушения» и Играх в Париже	В МОК наплевали на независимость, автономность и уважение к легитимным решениям международных федераций. Об этом в интервью RT заявил президент ФСБР Михаил Мамиашвили. По его словам, глава организации Томас Бах всячески даёт понять, что тенденция разрушения по отношению к россиянам якобы правильна. Олимпийский чемпион также отметил, что WADA лезет не в свои дела, когда запрещает проведение Игр Дружбы, и вспомнил, как помог украинской сборной в 2021-м, когда от неё отказались власти страны.
Сбывшаяся мечта: Бобровский выстоял в седьмом матче финала и привёл «Флориду» к победе в Кубке Стэнли	«Флорида» впервые в истории завоевала Кубок Стэнли, а Сергей Бобровский стал главным героем седьмого матча финальной серии. Российский голкипер отразил 23 броска из 24 и позволил команде взять верх над «Эдмонтоном» с минимальным счётом 2:1. Защитник Дмитрий Куликов в этой встрече отметился эффектным спасением ворот и результативной передачей. Для обоих чемпионский титул НХЛ стал первым в карьере, а вот Владимир Тарасенко завоевал главный трофей уже во второй раз.
«Начался какой-то апокалипсис»: Ефимова не отобралась на Олимпийские игры в Париже из-за тяжёлых погодных условий	Юлия Ефимова упустила последнюю возможность отобраться на Олимпийские игры 2024 года — через чемпионат Багамских островов. На двухсотметровку брассом она вышла после 25-часового перелёта и показала не лучший результат. А на дистанции вдвое короче столкнулась с тяжёлыми погодными условиями. Ещё утром во время квалификации начался тропический ливень, перед финалом погода не улучшилась. В итоге россиянке не хватило до нужного результата почти секунды.
«Олицетворение спортивной журналистики»: скончалась легендарная теннисистка и комментатор Анна Дмитриева	Многократная чемпионка СССР по теннису и прославленный комментатор Анна Дмитриева скончалась на 84-м году жизни. По словам её сына Дмитрия Чуковского, в последние годы Дмитриева тяжело болела. Своими воспоминаниями о ней поделились тренеры, спортсмены и многочисленные ученики легенды спортивной тележурналистики.
Встреча Сливко с медведем, челлендж Мошковой и криопроцедуры Бажина: как российские биатлонисты проводят межсезонье	Ведущие российские биатлонисты начали активную подготовку к новому сезону. Мужская команда под руководством Юрия Каминского проводит сбор в Раубичах. Спортсмены не только тренируются, но и проходят восстановительные процедуры в криокамере при крайне низких температурах. Антон Бабиков и Александр Логинов из «Союза трёх биатлонистов» приняли участие в беговой командной эстафете в Санкт-Петербурге. Между тем Виктория Сливко рассказала, как встретила медведя в Красной Поляне, а Екатерина Мошкова померилась красотой ягодиц с Вероникой Степановой и Александрой Саютиной. Как проходит межсезонье в российском биатлоне — в материале RT.
«Между нами нет вражды»: Исмаилов и Минеев обошлись без конфликтов и оскорблений за месяц до третьего боя	От былой вражды с Магомедом Исмаиловым не осталось и следа, а новый поединок не более чем братское противостояние, заявил Владимир Минеев на пресс-конференции за месяц до очередной схватки с соотечественником. По словам бойца, он не утратил вкуса к победам и уделяет тренировкам максимум времени и внимания. Его соперник пообещал вновь предстать безбашенным и эмоциональным, а также отметил, что статус андердога только мотивирует. В свою очередь, промоутер Камил Гаджиев рассказал, почему принял решение на сей раз свести спортсменов на ринге и сравнил трилогию с футбольным дерби «Спартак» — «Зенит».
Упустив пять матчболов: Калинская проиграла Пегуле в финале турнира WTA в Берлине	Анна Калинская не смогла завоевать первый титул в карьере. В финале турнира WTA в Берлине россиянка в трёх сетах уступила пятой ракетке мира Джессике Пегуле. В решающей партии 25-летняя уроженка Москвы вела со счётом 4:1, но позволила сопернице вернуться в игру. Также она не реализовала пять чемпионшип-пойнтов, тогда как американке хватило всего одного на тай-брейке. Несмотря на поражение, в понедельник подруга Янника Синнера впервые в карьере поднимется в топ-20 мирового рейтинга.
Чисто российская дуэль: Волков победил Павловича, а Алискеров нокаутом уступил Уиттакеру на турнире UFC в Эр-Рияде	В Эр-Рияде завершился первый в истории турнир UFC. Во втором по значимости поединке вечера Александр Волков взял верх над Сергеем Павловичем и одержал четвёртую победу подряд. Драго всецело контролировал ход боя и почти вдвое превзошёл соотечественника по числу значимых попаданий, склонив на свою сторону всех судей. В свою очередь, вышедший на коротком уведомлении Икрам Алискеров за 109 секунд уступил Роберту Уиттакеру, Шарабутдин Магомедов в середине третьего раунда нокаутировал Антонио Троколи, а Ринат Фахретдинов оказался сильнее Николаса Далби.
По завету Снуп Догга: «Эдмонтон» вновь победил «Флориду» и отыгрался в финале Кубка Стэнли со счёта 0-3	«Эдмонтон» одержал третью победу подряд над «Флоридой» и сравнял счёт в финальной серии плей-офф Кубка Стэнли. Сергей Бобровский отразил лишь 16 бросков из 21, а Дмитрий Куликов поучаствовал в единственной голевой атаке гостей. Итог встречи предсказал американский рэпер Снуп Догг, дававший концерт на стадионе «Роджерс Плэйс» за сутки до игры. Теперь судьба главного трофея решится в седьмом матче, который пройдёт на юге США. В последний раз для выявления лучшего все встречи понадобились пять лет назад, когда триумф в составе «Сент-Луиса» отпраздновал Владимир Тарасенко, ныне защищающий цвета «Пантерз».
Грандиозная авантюра: Алискеров может стать претендентом на титул UFC в случае победы над Уиттакером	Икрам Алискеров проведёт один из важнейших боёв в карьере на первом в истории турнире UFC в Саудовской Аравии. 22 июня он заменит снявшегося с шоу из-за болезни Хамзата Чимаева и сразится с бывшим чемпионом в среднем весе Робертом Уиттакером. И если победа в этом поединке может помочь россиянину ворваться в элиту дивизиона и даже стать претендентом на титул, то поражение не только поставит точку в его беспроигрышной серии из семи схваток, но и может осложнить его перспективы.
